,title,byline,dates,datetime
130,Forex challenges loom: PBOC official,"Ruan, Victoria.",04 Jan 2014,2014-01-04
101,[ 'Betrayed' Legend of Ballesteros haunts new European Tour cup . ],,04 Jan 2014,2014-01-04
108,Fok heir losesbid to challengewill executors Family settlement reached in 2012 blocks Benjamin Fok's bid to take his brother and aunt to court over father's multibillion-dollar estate,"Chiu, Austin.",04 Jan 2014,2014-01-04
103,[ Demolition derby Cars hit by falling concrete as offices knocked down . ],,04 Jan 2014,2014-01-04
104,[ Hepatitis B vaccine ruled out in deaths... ],,04 Jan 2014,2014-01-04
106,Budget-busting HK$6b HQ for RTHK opposedLawmakers reject HK$6b funding for RTHK centre Critics say new headquarters too costly; officials say broadcaster's development will be hindered,"Kang-chung, Ng.",04 Jan 2014,2014-01-04
107,"Cooling puts flat sales into tailspin Action to avoid housing bubble and new rules on advertising send transactions crashing to a 17-year low, but prices still show 3pc increase","Liu, Yvonne; Sito, Peggy.",04 Jan 2014,2014-01-04
160,"Schools should realise children's potential, not investors' profits",,04 Jan 2014,2014-01-04
109,HK stocks plunge on slowdown concerns Weaker expansion in the mainland's non-manufacturing sector causes decline,"Yu, Jeanny.",04 Jan 2014,2014-01-04
110,Mainland housing market nearer brink of crashMainland's housing bubble nearer brink of crash Analysts say reforms like an attack on graft and a more liberal interest rate regime are propelling a bloated sector towards a hard landing,"Chiang, Langi.",04 Jan 2014,2014-01-04
111,Scales of justice cost fish thief dear,"Chan, Thomas; Tang, Carol.",04 Jan 2014,2014-01-04
112,"Stable growth for China's IT sector The mainland is closing the gap on the US and Japan in technology spending, a report shows","Perez, Bien.",04 Jan 2014,2014-01-04
102,[ A priceless gift Woman donates bone marrow to dying stranger . ],,04 Jan 2014,2014-01-04
159,Public service is not self-serving,,04 Jan 2014,2014-01-04
135,Woman offers dying stranger the gift of life Ariel Lam signed up as a donor to help a friend but ended up helping a man she has never met,"Lo, Wei.",04 Jan 2014,2014-01-04
155,"Out with the old Jonathan So's apps for kids are helping to replace textbooks, writes Hilda Poon","Poon, Hilda.",04 Jan 2014,2014-01-04
152,"Nooks and crannies where dirty cadres stash the cash Fish ponds, cesspits and paddy fields are among the places officials have secreted their ill-gotten gains, according to a mainland media report","Meng, Angela.",04 Jan 2014,2014-01-04
151,Middle class tune into music therapy,"Meng, Angela.",04 Jan 2014,2014-01-04
150,Getting results Laszlo Bock explains how Google drives innovation through transparency and giving staff a voice,"Poon, Hilda.",04 Jan 2014,2014-01-04
149,[ Turn internet chatter into insight with AmCham talk... ],,04 Jan 2014,2014-01-04
148,[ Error gives man millions... ],Name Name.,04 Jan 2014,2014-01-04
147,"Hepatitis shots ruled out in child deaths Vaccines almost certainly were not to blame for deaths of 17 infants reported around the country, health authorities say after probe",Zhuang Pinghui.,04 Jan 2014,2014-01-04
146,"Businessman tied to ex-official dies Li Ming, 47, knew former deputy police chief Li Dongsheng, who is under investigation for graft",,04 Jan 2014,2014-01-04
145,[ Officials banned from taking bogus courses... ],,04 Jan 2014,2014-01-04
144,[ Music helps them to communicate their pain... ],,04 Jan 2014,2014-01-04
143,[ Job creation sole priority for French president in 2014... ],,04 Jan 2014,2014-01-04
142,"Sports complex to cost HK$23 b Construction of project on former airport site will be funded by taxpayers and operated privately, according to government proposal","Ngo, Jennifer.",04 Jan 2014,2014-01-04
141,MTR condemned over rail works accidents,"Chan, Samuel; Tang, Edward.",04 Jan 2014,2014-01-04
140,Kindergarten panic spills over into Yuen Long,"Zhao, Shirley.",04 Jan 2014,2014-01-04
139,Falling debris causes traffic chaos in Central Basketball-sized lumps of concrete litter road and prompt huge jams on busy city streets,"Lo, Clifford.",04 Jan 2014,2014-01-04
138,"Expansion works led to tyre damage Incident in which 50 heavy vehicles suffered punctures from a single protruding screw came about after road was widened, says report","Nip, Amy.",04 Jan 2014,2014-01-04
137,"Boomtown With its appetite for entrepreneurship, cryptocurrency experts argue, Hong Kong is uniquely placed to exploit disruptive financial technologies for bitcoin?","Lee, Danny; Chiu, Joanna.",04 Jan 2014,2014-01-04
136,"[ Sunday, Ming Pao Daily... ]",,04 Jan 2014,2014-01-04
113,'Independence' groups just want say in city's affairs,"Tsang, Emily; Fanny W.Y. Fung.",04 Jan 2014,2014-01-04
134,PLA readies joint command for electronic age,"Ng, Teddy.",04 Jan 2014,2014-01-04
133,Other over-budget works in doubt after RTHK vote Legco's tougher stance could affect plans for Central-Wan Chai bypass and border crossing,"Wong, Olga; Kang-chung, Ng.",04 Jan 2014,2014-01-04
157,[ China is not bullying its neighbours... ],,04 Jan 2014,2014-01-04
156,[ Government needs to rethink its waste management policy... ],,04 Jan 2014,2014-01-04
105,[ Woman dies after being hit by minibus... ],,04 Jan 2014,2014-01-04
128,Club to replace trees it felled without permission Victoria Recreation Club promises to find trees of a similar size and age to those removed from its Sai Kung site,"Wong, Olga.",04 Jan 2014,2014-01-04
126,Regulator approves HKTV mobile deal Communications Authority raises no objection to Ricky Wong's takeover,"Nip, Amy.",04 Jan 2014,2014-01-04
153,What's behind the wilting of Shanghai's 'flower'? The threatened relocation of Shenhua soccer club to Yunnan is more about politics than the troubled team's finances,"Ren, Daniel.",04 Jan 2014,2014-01-04
115,[ Alibaba B2... ],,04 Jan 2014,2014-01-04
122,First Ferry 'sorry' for ban on big notes,"Nip, Amy.",04 Jan 2014,2014-01-04
116,[ I think Hong Kong can set an example for keeping bitcoin clean... ],,04 Jan 2014,2014-01-04
117,[ January 6 AGM: Yueshou Environmental Holdings... ],,04 Jan 2014,2014-01-04
118,"[ Monday, January 13: British Chamber of Commerce lunch with Alderman Woolf, the Lord Mayor of the City of London. ]",,04 Jan 2014,2014-01-04
119,"[ NEWS (Section A): Leading the News A3 , Focus A4 , China A5-6 , China Digest A6 , Asia A7 , World A8-9 , Opinion A10 , Insight A11... ]",,04 Jan 2014,2014-01-04
154,Fighting for inspiration,"Poon, Hilda.",04 Jan 2014,2014-01-04
121,Filthy air to persist all weekend,"Lee, Danny.",04 Jan 2014,2014-01-04
114,[ Alex Tang prepares for SXC Take-off . ],,04 Jan 2014,2014-01-04
127,"Tai to Lam: I thought we were talking? Occupy co-founder and chief secretary at odds over public poll results, which Lam says do not fit with Basic Law or Beijing's wishes","Fanny W.Y. Fung; Kang-chung, Ng; Cheung, Tony.",04 Jan 2014,2014-01-04
123,Middleman jailed for laundering cash,"Chan, Thomas; Tang, Edward.",04 Jan 2014,2014-01-04
125,PR mud-slingers ensure everyone's hands are dirty So-called black public relations has taken off on the mainland as companies hire online teams to look good by smearing their rivals,"Yu, Sophie.",04 Jan 2014,2014-01-04
124,MY TAKEObama must look at the bigger picture,"Kumar, Hari.",04 Jan 2014,2014-01-04
120,Fifth arrest for trespass at PLA barracks,"Ngo, Jennifer.",04 Jan 2014,2014-01-04
180,NPC deputy in new callfor national security law,"Fung, Fanny W Y; Lam, Jeffie.",05 Jan 2014,2014-01-05
179,"More rights for gays favoured, survey finds Though Hongkongers tend not to approve of same-sex marriage, most back greater equality","Lam, Lana.",05 Jan 2014,2014-01-05
174,[ 1978: Deng Xiaoping launches the country on its path of reform and opens it to the outside world. ],,05 Jan 2014,2014-01-05
181,Proposals for transgender marriage 'too limited',,05 Jan 2014,2014-01-05
190,Army names two new deputy commanders,"Zhai, Keith.",05 Jan 2014,2014-01-05
182,Centre reaches out to HK's disadvantaged youngsters,"Lam, Lana.",05 Jan 2014,2014-01-05
195,[ On the margins. ],,05 Jan 2014,2014-01-05
197,City has revenue problem that most places wish they had,,05 Jan 2014,2014-01-05
194,[ On the failure of the government's 10-year incentive scheme to get developers to build elderly care homes:... ],,05 Jan 2014,2014-01-05
193,[ Don't insult Hongkongers' level of English... ],,05 Jan 2014,2014-01-05
192,"Site of Apec summit designed to impress Yanqi Lake location for regional summit is meant to be a welcome - and welcoming - green departure from Beijing's tarnished, polluted image",Xu Donghuan.,05 Jan 2014,2014-01-05
191,"As career choice failed to add up, film beckoned A job in finance made sense to young woman's parents, but her artistic side had other ideas",,05 Jan 2014,2014-01-05
196,Why should young people be deprived of their right to vote?,,05 Jan 2014,2014-01-05
198,"Restricting cadres' smoking seen as small first step Tougher laws needed to ensure officials light the way for health campaign to cut down on tobacco use, commentators insist",,05 Jan 2014,2014-01-05
164,[ APEC summit centre almost complete... ],,05 Jan 2014,2014-01-05
168,[ Macau... ],,05 Jan 2014,2014-01-05
167,XI ORDERS MAJOREFFORT TO SAVEANTARCTIC SHIP President urges 101 people on board Chinese icebreaker to stay calm after it became trapped following rescue from icebound Russian vessel,"Zhai, Keith.",05 Jan 2014,2014-01-05
186,Rehab school no closer to new home,"Zhao, Shirley.",05 Jan 2014,2014-01-05
187,[ Man confirmed with bird flu in Shanghai... ],,05 Jan 2014,2014-01-05
185,How much more did hostage need to suffer? Manila bus victim 'reborn' after successful operation but questions linger over treatment,"Lam, Lana.",05 Jan 2014,2014-01-05
184,Hong Kong 'at a crossroads' onhuman trafficking US official ambivalent on city's efforts to curb problem; HK government attacks lower ranking,"Lam, Lana.",05 Jan 2014,2014-01-05
183,Competition hots up for vacant Lantau school site Drug rehab college now facing battle with two schools for ethnic minority children to use Mui Wo campus closed in 2007 by the government,"Zhao, Shirley.",05 Jan 2014,2014-01-05
188,[ They came and dumped our belongings on to a truck then smashed our house... ],,05 Jan 2014,2014-01-05
189,Architects draw on Chinese influences,Xu Donghuan.,05 Jan 2014,2014-01-05
178,Lam warns against provoking Beijing Chief secretary says 'extreme' acts such as the PLA barracks protest will only hinder Hong Kong's ongoing political reform efforts,"Lam, Jeffie.",05 Jan 2014,2014-01-05
